"id","trans_date","house_age","dist_MRT","num_stores","lat","long","price","X","Y","Xs","Ys","ldist"
1,2012.9166667,32,84.87882,10,24.98298,121.54024,37.9,506501.554579673,2766294.95840795,0.666074544699863,1.55900306735002,4.44122459222983
2,2012.9166667,19.5,306.5947,9,24.98034,121.53951,42.2,506433.29200655,2766000.98027942,0.597811971577234,1.265024938819,5.7255266799217
3,2013.5833333,13.3,561.9845,5,24.98746,121.54391,47.3,506862.973688334,2766798.43891144,1.02749365336116,2.06248357084533,6.33147426944218
4,2013.5,13.3,561.9845,5,24.98746,121.54391,54.8,506862.973688334,2766798.43891144,1.02749365336116,2.06248357084533,6.33147426944218
5,2012.8333333,5,390.5684,5,24.97937,121.54245,43.1,506732.30787162,2765899.03918808,0.89682783664728,1.1630838474757,5.96760311399223
6,2012.6666667,7.1,2175.03,3,24.96305,121.51254,32.1,503744.291484843,2764033.96299192,-2.09118855012965,-0.701992348674685,7.68479773653111
7,2012.6666667,34.5,623.4731,7,24.97933,121.53642,40.3,506123.233569472,2765883.19698152,0.287753534499265,1.14724164092354,6.43530562064487
8,2013.4166667,20.3,287.6025,6,24.98042,121.54228,46.7,506712.952201749,2766015.09094287,0.877472166775959,1.27913560227025,5.66157931843776
9,2013.5,31.7,5512.038,1,24.95095,121.48458,18.8,500943.977415028,2762640.91301114,-4.89150261994475,-2.09504232945573,8.61468970671908
10,2013.4166667,17.9,1783.18,3,24.96731,121.51486,22.1,503969.936099691,2764510.44362362,-1.8655439352821,-0.225511716978159,7.48615356621693
11,2013.0833333,34.8,405.2134,1,24.97349,121.53372,41.4,505862.570949417,2765230.84049646,0.0270909144441248,0.494885155857541,6.00441384191657
12,2013.3333333,6.3,90.45606,9,24.97433,121.5431,58.1,506808.447761703,2765341.67647767,0.972967726730625,0.605721137068234,4.50486420793864
13,2012.9166667,13,492.2313,5,24.96515,121.53737,39.3,506248.606172233,2764313.39769021,0.413126137260231,-0.422557650391478,6.19894872797083
14,2012.6666667,20.4,2469.645,4,24.96108,121.51046,23.8,503538.182587394,2763811.73736259,-2.29729744757898,-0.924217978012282,7.81182969459628
15,2013.5,13.2,1164.838,4,24.99156,121.53406,34.3,505859.485528744,2767234.21178783,0.0240054937708192,2.49825644723,7.06033730053666
16,2013.5833333,35.7,579.2083,2,24.9824,121.54619,50.5,507103.82097295,2766241.95117384,1.26834093797754,1.50599583323626,6.36166217107933
17,2013.25,0,292.9978,6,24.97744,121.54458,70.1,506951.497498315,2765689.16941278,1.1160174633424,0.953214072179981,5.68016510045646
18,2012.75,17.7,350.8515,1,24.97544,121.53119,37.4,505602.942421965,2765442.18907162,-0.232537613008113,0.706233731015585,5.8603630570205
19,2013.4166667,16.9,368.1363,8,24.9675,121.54451,42.3,506965.095103535,2764587.36465402,1.12961506856175,-0.148590686577372,5.90845325002981
20,2012.6666667,1.5,23.38284,7,24.96772,121.54102,47.7,506612.040176833,2764605.1381247,0.776560141860275,-0.130817215899006,3.1520024200099
21,2013.4166667,4.5,2275.877,3,24.96314,121.51151,29.3,503640.042754781,2764042.01093813,-2.19543728019175,-0.693944402474444,7.73012075160663
22,2013.4166667,10.5,279.1726,7,24.97528,121.54541,51.6,507039.840306393,2765451.34539653,1.20436027142062,0.715390055933967,5.6318302285366
23,2012.9166667,14.7,1360.139,1,24.95204,121.54842,24.6,507392.308672438,2762881.31361556,1.55682863746496,-1.85464172503632,7.21534217938979
24,2013.0833333,10.1,279.1726,7,24.97528,121.54541,47.9,507039.840306393,2765451.34539653,1.20436027142062,0.715390055933967,5.6318302285366
25,2013,39.6,480.6977,4,24.97353,121.53885,38.8,506380.750100503,2765244.96613546,0.545270065529738,0.509010794858448,6.17523859019947
26,2013.0833333,29.3,1487.868,2,24.97542,121.51726,27,504195.725471994,2765413.77778527,-1.6397545629791,0.677822444670368,7.30509950178068
27,2012.6666667,3.1,383.8624,5,24.98085,121.54391,56.2,506876.721290723,2766065.83737447,1.04124125575012,1.3298820338673,5.95028415503766
28,2013.25,10.4,276.449,5,24.95593,121.53913,33.6,506445.546532847,2763294.85591258,0.610066497874563,-1.44109942801716,5.62202635548675
29,2013.5,19.2,557.478,4,24.97419,121.53797,47,506290.478429381,2765316.45113158,0.454998394408205,0.580495790982619,6.32342304067222
30,2013.0833333,7.1,451.2438,5,24.97563,121.54694,57.1,507193.679672826,2765493.03888475,1.35819963785313,0.757083544149529,6.11200776994051
31,2013.5,25.9,4519.69,0,24.94826,121.49587,22.1,502090.222236526,2762363.71088573,-3.74525779844692,-2.3722444548714,8.41619868640348
32,2012.75,29.6,769.4034,7,24.98281,121.53408,25,505879.635719847,2766264.47134904,0.0441556848741602,1.52851600844227,6.64561540933625
33,2012.75,37.9,488.5727,1,24.97349,121.53451,34.2,505942.381212519,2765232.33180225,0.106901177546475,0.496376461651642,6.19148828333713
34,2013.25,16.5,323.655,6,24.97841,121.54281,49.3,506770.670891698,2765793.32228383,0.935190856725152,1.05736694322573,5.77967813365946
35,2012.75,15.4,205.367,7,24.98419,121.54243,55.1,506720.269461095,2766433.21247987,0.884789426121977,1.69725713927438,5.32479862246423
36,2013.5,13.9,4079.418,0,25.01459,121.51816,27.3,504205.973764445,2769756.71649325,-1.62950627052732,5.02076115265163,8.31370961016432
37,2012.9166667,14.7,1935.009,2,24.96386,121.51458,22.9,503948.735260107,2764127.5541232,-1.88674477486592,-0.608401217401028,7.56786725661586
38,2013.1666667,12,1360.139,1,24.95204,121.54842,25.3,507392.308672438,2762881.31361556,1.55682863746496,-1.85464172503632,7.21534217938979
39,2012.6666667,3.1,577.9615,6,24.97201,121.54722,47.7,507229.502386797,2765092.35702881,1.39402235182398,0.356401688210201,6.35950725745736
40,2013.1666667,16.2,289.3248,5,24.98203,121.54348,46.2,506830.829126381,2766195.80445191,0.9953490914086,1.45984911130788,5.66754993246975
41,2013,13.6,4082.015,0,24.94155,121.50381,15.9,502906.231064916,2761634.81850218,-2.92924897005648,-3.10113683842309,8.31434601803232
42,2013.5,16.8,4066.587,0,24.94297,121.50342,18.2,502863.919817927,2761791.46983873,-2.97156021704536,-2.94448550187098,8.31055935169741
43,2013.4166667,36.1,519.4617,5,24.96305,121.53758,34.7,506274.176470104,2764081.04794449,0.438696435131482,-0.654907396108843,6.25279308308616
44,2012.75,34.4,512.7871,6,24.98748,121.54301,34.1,506772.018895928,2766798.94962056,0.936538860955101,2.06299427995691,6.2398607492838
45,2013.5833333,2.7,533.4762,4,24.97445,121.54765,53.9,507267.864075173,2765363.60400869,1.43238404019974,0.627648668095004,6.27941445868766
46,2013.0833333,36.6,488.8193,8,24.97015,121.54494,38.3,507003.027892052,2764881.88491661,1.16754785707965,0.145929576011375,6.19199289152961
47,2013.4166667,21.7,463.9623,9,24.9703,121.54458,42,506966.345587137,2764897.82736541,1.13086555216392,0.161872024805751,6.13980329892529
48,2013.5833333,35.9,640.7391,3,24.97563,121.53715,61.5,506204.651801734,2765474.49887165,0.369171766761516,0.7385435310537,6.46262235378462
49,2013.4166667,24.2,4605.749,0,24.94684,121.49578,13.4,502084.02158162,2762206.16620641,-3.75145845335303,-2.52978913419181,8.43506058475769
50,2012.6666667,29.4,4510.359,1,24.94925,121.49542,13.2,502042.7352777,2762472.59587126,-3.79274475727323,-2.26335946933739,8.41413203021566
51,2013.4166667,21.7,512.5487,4,24.974,121.53842,44.2,506336.333967934,2765296.24394113,0.500853932961356,0.560288600534666,6.23939573088828
